logfile,group,file,subject,condition,symb,perm,Day,Block,Trial,Day_group
analysis_output.1904647.log,old,S129_G03_D01_B01_T01,S129,G03_D01_B01_T01,2.2845,0.2211,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S130_G03_D01_B01_T01,S130,G03_D01_B01_T01,2.2775,0.224,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S131_G03_D01_B01_T01,S131,G03_D01_B01_T01,2.6186,0.2111,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S133_G03_D01_B01_T01,S133,G03_D01_B01_T01,2.2842,0.2284,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S134_G03_D01_B01_T01,S134,G03_D01_B01_T01,2.5137,0.2271,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S135_G03_D01_B01_T01,S135,G03_D01_B01_T01,2.2847,0.2496,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S136_G03_D01_B01_T01,S136,G03_D01_B01_T01,2.2796,0.2251,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S137_G03_D01_B01_T01,S137,G03_D01_B01_T01,2.2793,0.2263,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S138_G03_D01_B01_T01,S138,G03_D01_B01_T01,2.2912,0.227,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S139_G03_D01_B01_T01,S139,G03_D01_B01_T01,2.2688,0.2248,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S140_G03_D01_B01_T01,S140,G03_D01_B01_T01,2.2649,0.2198,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S141_G03_D01_B01_T01,S141,G03_D01_B01_T01,2.2809,0.2423,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S142_G03_D01_B01_T01,S142,G03_D01_B01_T01,2.2477,0.2224,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S143_G03_D01_B01_T01,S143,G03_D01_B01_T01,2.2209,0.224,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S145_G03_D01_B01_T01,S145,G03_D01_B01_T01,2.2817,0.2259,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S146_G03_D01_B01_T01,S146,G03_D01_B01_T01,2.2601,0.2306,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S154_G03_D01_B01_T01,S154,G03_D01_B01_T01,2.2771,0.2259,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S156_G03_D01_B01_T01,S156,G03_D01_B01_T01,2.2916,0.2304,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S157_G03_D01_B01_T01,S157,G03_D01_B01_T01,2.2808,0.22,D01,B01,T01,D01 Old
analysis_output.1904647.log,old,S158_G03_D01_B01_T01,S158,G03_D01_B01_T01,2.247,0.22,D01,B01,T01,D01 Old
analysis_output.1904647.log,young,S001_G01_D01_B01_T01,S001,G01_D01_B01_T01,2.2424,0.2516,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S002_G01_D01_B01_T01,S002,G01_D01_B01_T01,2.2196,0.2217,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S003_G01_D01_B01_T01,S003,G01_D01_B01_T01,2.2648,0.2283,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S004_G01_D01_B01_T01,S004,G01_D01_B01_T01,2.2416,0.2216,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S005_G01_D01_B01_T01,S005,G01_D01_B01_T01,2.2832,0.2294,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S006_G01_D01_B01_T01,S006,G01_D01_B01_T01,2.2523,0.225,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S007_G01_D01_B01_T01,S007,G01_D01_B01_T01,2.2399,0.2223,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S008_G01_D01_B01_T01,S008,G01_D01_B01_T01,2.2884,0.225,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S010_G01_D01_B01_T01,S010,G01_D01_B01_T01,2.2773,0.2214,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S011_G01_D01_B01_T01,S011,G01_D01_B01_T01,2.2552,0.2169,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S012_G01_D01_B01_T01,S012,G01_D01_B01_T01,2.2383,0.2577,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S014_G01_D01_B01_T01,S014,G01_D01_B01_T01,2.5887,0.2156,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S015_G01_D01_B01_T01,S015,G01_D01_B01_T01,2.5957,0.2173,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S016_G01_D01_B01_T01,S016,G01_D01_B01_T01,2.2778,0.2393,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S017_G01_D01_B01_T01,S017,G01_D01_B01_T01,2.6755,0.2164,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S018_G01_D01_B01_T01,S018,G01_D01_B01_T01,2.2793,0.229,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S020_G01_D01_B01_T01,S020,G01_D01_B01_T01,2.5965,0.2155,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S021_G01_D01_B01_T01,S021,G01_D01_B01_T01,2.5899,0.217,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S023_G01_D01_B01_T01,S023,G01_D01_B01_T01,2.2331,0.2209,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S024_G01_D01_B01_T01,S024,G01_D01_B01_T01,2.2545,0.2238,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S025_G01_D01_B01_T01,S025,G01_D01_B01_T01,2.2791,0.2242,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S026_G01_D01_B01_T01,S026,G01_D01_B01_T01,2.279,0.2241,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S027_G01_D01_B01_T01,S027,G01_D01_B01_T01,2.2509,0.2549,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S028_G01_D01_B01_T01,S028,G01_D01_B01_T01,2.2914,0.246,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S030_G01_D01_B01_T01,S030,G01_D01_B01_T01,2.2421,0.2214,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S031_G01_D01_B01_T01,S031,G01_D01_B01_T01,2.2743,0.2389,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S032_G01_D01_B01_T01,S032,G01_D01_B01_T01,2.2508,0.2279,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S033_G01_D01_B01_T01,S033,G01_D01_B01_T01,2.2588,0.2368,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S034_G01_D01_B01_T01,S034,G01_D01_B01_T01,2.278,0.2366,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S035_G01_D01_B01_T01,S035,G01_D01_B01_T01,2.2555,0.2226,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S036_G01_D01_B01_T01,S036,G01_D01_B01_T01,2.275,0.225,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S037_G01_D01_B01_T01,S037,G01_D01_B01_T01,2.2465,0.2231,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S038_G01_D01_B01_T01,S038,G01_D01_B01_T01,2.2524,0.2308,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S039_G01_D01_B01_T01,S039,G01_D01_B01_T01,2.2632,0.2308,D01,B01,T01,D01 Young
analysis_output.1904647.log,young,S063_G01_D01_B01_T01,S063,G01_D01_B01_T01,2.2685,0.2272,D01,B01,T01,D01 Young
analysis_output.1904648.log,old,S009_G03_D01_B01_T02,S009,G03_D01_B01_T02,2.2927,0.2237,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S013_G03_D01_B01_T02,S013,G03_D01_B01_T02,2.2887,0.2245,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S019_G03_D01_B01_T02,S019,G03_D01_B01_T02,2.285,0.2232,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S040_G03_D01_B01_T02,S040,G03_D01_B01_T02,2.2648,0.2239,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S081_G03_D01_B01_T02,S081,G03_D01_B01_T02,2.2453,0.2308,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S102_G03_D01_B01_T02,S102,G03_D01_B01_T02,2.2632,0.2256,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S103_G03_D01_B01_T02,S103,G03_D01_B01_T02,2.2515,0.2238,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S104_G03_D01_B01_T02,S104,G03_D01_B01_T02,2.2542,0.2215,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S107_G03_D01_B01_T02,S107,G03_D01_B01_T02,2.2645,0.2236,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S109_G03_D01_B01_T02,S109,G03_D01_B01_T02,2.264,0.2382,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S110_G03_D01_B01_T02,S110,G03_D01_B01_T02,2.2499,0.2299,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S112_G03_D01_B01_T02,S112,G03_D01_B01_T02,2.5948,0.2295,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S113_G03_D01_B01_T02,S113,G03_D01_B01_T02,2.2625,0.2199,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S116_G03_D01_B01_T02,S116,G03_D01_B01_T02,2.2883,0.2213,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S119_G03_D01_B01_T02,S119,G03_D01_B01_T02,2.2657,0.2218,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S120_G03_D01_B01_T02,S120,G03_D01_B01_T02,2.272,0.2238,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S123_G03_D01_B01_T02,S123,G03_D01_B01_T02,2.744,0.234,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S125_G03_D01_B01_T02,S125,G03_D01_B01_T02,2.2404,0.2201,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S126_G03_D01_B01_T02,S126,G03_D01_B01_T02,2.2621,0.2304,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S127_G03_D01_B01_T02,S127,G03_D01_B01_T02,2.2526,0.2248,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S128_G03_D01_B01_T02,S128,G03_D01_B01_T02,2.2941,0.2272,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S129_G03_D01_B01_T02,S129,G03_D01_B01_T02,2.2862,0.2212,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S130_G03_D01_B01_T02,S130,G03_D01_B01_T02,2.2815,0.2264,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S131_G03_D01_B01_T02,S131,G03_D01_B01_T02,2.6131,0.2094,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S133_G03_D01_B01_T02,S133,G03_D01_B01_T02,2.2834,0.228,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S134_G03_D01_B01_T02,S134,G03_D01_B01_T02,2.1928,0.2227,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S135_G03_D01_B01_T02,S135,G03_D01_B01_T02,2.2866,0.2568,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S136_G03_D01_B01_T02,S136,G03_D01_B01_T02,2.2828,0.2262,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S137_G03_D01_B01_T02,S137,G03_D01_B01_T02,2.2813,0.2274,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S138_G03_D01_B01_T02,S138,G03_D01_B01_T02,2.2914,0.2278,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S139_G03_D01_B01_T02,S139,G03_D01_B01_T02,2.2756,0.2255,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S140_G03_D01_B01_T02,S140,G03_D01_B01_T02,2.2678,0.2211,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S141_G03_D01_B01_T02,S141,G03_D01_B01_T02,2.2786,0.2449,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S142_G03_D01_B01_T02,S142,G03_D01_B01_T02,2.2512,0.2211,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S143_G03_D01_B01_T02,S143,G03_D01_B01_T02,2.2261,0.2247,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S145_G03_D01_B01_T02,S145,G03_D01_B01_T02,2.2851,0.2283,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S146_G03_D01_B01_T02,S146,G03_D01_B01_T02,2.2734,0.229,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S154_G03_D01_B01_T02,S154,G03_D01_B01_T02,2.2809,0.2249,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S156_G03_D01_B01_T02,S156,G03_D01_B01_T02,2.2933,0.2345,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S157_G03_D01_B01_T02,S157,G03_D01_B01_T02,2.2869,0.2218,D01,B01,T02,D01 Old
analysis_output.1904648.log,old,S158_G03_D01_B01_T02,S158,G03_D01_B01_T02,2.2388,0.2181,D01,B01,T02,D01 Old
analysis_output.1904648.log,young,S001_G01_D01_B01_T02,S001,G01_D01_B01_T02,2.245,0.2487,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S002_G01_D01_B01_T02,S002,G01_D01_B01_T02,2.2159,0.221,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S003_G01_D01_B01_T02,S003,G01_D01_B01_T02,2.2721,0.2294,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S004_G01_D01_B01_T02,S004,G01_D01_B01_T02,2.2481,0.2215,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S005_G01_D01_B01_T02,S005,G01_D01_B01_T02,2.2874,0.2265,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S006_G01_D01_B01_T02,S006,G01_D01_B01_T02,2.2534,0.2255,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S007_G01_D01_B01_T02,S007,G01_D01_B01_T02,2.2371,0.222,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S008_G01_D01_B01_T02,S008,G01_D01_B01_T02,2.2929,0.2245,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S010_G01_D01_B01_T02,S010,G01_D01_B01_T02,2.2817,0.2225,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S011_G01_D01_B01_T02,S011,G01_D01_B01_T02,2.2594,0.2175,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S012_G01_D01_B01_T02,S012,G01_D01_B01_T02,2.2442,0.2621,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S014_G01_D01_B01_T02,S014,G01_D01_B01_T02,2.5898,0.2163,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S015_G01_D01_B01_T02,S015,G01_D01_B01_T02,2.2333,0.2191,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S016_G01_D01_B01_T02,S016,G01_D01_B01_T02,2.276,0.2499,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S017_G01_D01_B01_T02,S017,G01_D01_B01_T02,2.4599,0.2211,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S018_G01_D01_B01_T02,S018,G01_D01_B01_T02,2.2804,0.2292,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S020_G01_D01_B01_T02,S020,G01_D01_B01_T02,2.2146,0.2169,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S021_G01_D01_B01_T02,S021,G01_D01_B01_T02,2.5939,0.2271,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S023_G01_D01_B01_T02,S023,G01_D01_B01_T02,2.2305,0.2211,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S024_G01_D01_B01_T02,S024,G01_D01_B01_T02,2.2577,0.2237,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S025_G01_D01_B01_T02,S025,G01_D01_B01_T02,2.2841,0.2278,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S026_G01_D01_B01_T02,S026,G01_D01_B01_T02,2.2785,0.2221,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S027_G01_D01_B01_T02,S027,G01_D01_B01_T02,2.2522,0.2557,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S028_G01_D01_B01_T02,S028,G01_D01_B01_T02,2.2927,0.2547,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S030_G01_D01_B01_T02,S030,G01_D01_B01_T02,2.2459,0.2223,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S031_G01_D01_B01_T02,S031,G01_D01_B01_T02,2.2806,0.242,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S032_G01_D01_B01_T02,S032,G01_D01_B01_T02,2.2528,0.2255,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S033_G01_D01_B01_T02,S033,G01_D01_B01_T02,2.2566,0.2383,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S034_G01_D01_B01_T02,S034,G01_D01_B01_T02,2.2775,0.236,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S035_G01_D01_B01_T02,S035,G01_D01_B01_T02,2.2525,0.2244,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S036_G01_D01_B01_T02,S036,G01_D01_B01_T02,2.2741,0.2258,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S037_G01_D01_B01_T02,S037,G01_D01_B01_T02,2.2559,0.2251,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S038_G01_D01_B01_T02,S038,G01_D01_B01_T02,2.2629,0.2335,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S039_G01_D01_B01_T02,S039,G01_D01_B01_T02,2.2675,0.2302,D01,B01,T02,D01 Young
analysis_output.1904648.log,young,S063_G01_D01_B01_T02,S063,G01_D01_B01_T02,2.2737,0.2282,D01,B01,T02,D01 Young
analysis_output.1904649.log,old,S009_G03_D01_B01_T03,S009,G03_D01_B01_T03,2.2914,0.2236,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S013_G03_D01_B01_T03,S013,G03_D01_B01_T03,2.2906,0.2224,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S019_G03_D01_B01_T03,S019,G03_D01_B01_T03,2.2821,0.2225,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S040_G03_D01_B01_T03,S040,G03_D01_B01_T03,2.2666,0.2237,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S081_G03_D01_B01_T03,S081,G03_D01_B01_T03,2.2496,0.2339,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S102_G03_D01_B01_T03,S102,G03_D01_B01_T03,2.264,0.2263,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S103_G03_D01_B01_T03,S103,G03_D01_B01_T03,2.2567,0.2247,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S104_G03_D01_B01_T03,S104,G03_D01_B01_T03,2.2551,0.2211,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S107_G03_D01_B01_T03,S107,G03_D01_B01_T03,2.2675,0.2239,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S109_G03_D01_B01_T03,S109,G03_D01_B01_T03,2.2626,0.2398,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S110_G03_D01_B01_T03,S110,G03_D01_B01_T03,2.2482,0.2346,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S112_G03_D01_B01_T03,S112,G03_D01_B01_T03,2.592,0.2282,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S113_G03_D01_B01_T03,S113,G03_D01_B01_T03,2.2627,0.2265,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S116_G03_D01_B01_T03,S116,G03_D01_B01_T03,2.2881,0.2193,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S119_G03_D01_B01_T03,S119,G03_D01_B01_T03,2.2649,0.2223,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S120_G03_D01_B01_T03,S120,G03_D01_B01_T03,2.2753,0.224,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S123_G03_D01_B01_T03,S123,G03_D01_B01_T03,2.6103,0.2403,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S125_G03_D01_B01_T03,S125,G03_D01_B01_T03,2.2492,0.2228,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S126_G03_D01_B01_T03,S126,G03_D01_B01_T03,2.2566,0.2226,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S127_G03_D01_B01_T03,S127,G03_D01_B01_T03,2.2544,0.2248,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S128_G03_D01_B01_T03,S128,G03_D01_B01_T03,2.2946,0.2278,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S129_G03_D01_B01_T03,S129,G03_D01_B01_T03,2.288,0.2198,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S130_G03_D01_B01_T03,S130,G03_D01_B01_T03,2.2834,0.2471,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S131_G03_D01_B01_T03,S131,G03_D01_B01_T03,2.6078,0.2097,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S133_G03_D01_B01_T03,S133,G03_D01_B01_T03,2.2887,0.2288,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S134_G03_D01_B01_T03,S134,G03_D01_B01_T03,2.1991,0.2266,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S135_G03_D01_B01_T03,S135,G03_D01_B01_T03,2.2867,0.2584,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S136_G03_D01_B01_T03,S136,G03_D01_B01_T03,2.2847,0.2266,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S137_G03_D01_B01_T03,S137,G03_D01_B01_T03,2.2817,0.2269,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S138_G03_D01_B01_T03,S138,G03_D01_B01_T03,2.2935,0.229,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S139_G03_D01_B01_T03,S139,G03_D01_B01_T03,2.2773,0.2243,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S140_G03_D01_B01_T03,S140,G03_D01_B01_T03,2.2704,0.2211,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S141_G03_D01_B01_T03,S141,G03_D01_B01_T03,2.2783,0.2489,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S142_G03_D01_B01_T03,S142,G03_D01_B01_T03,2.2517,0.2209,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S143_G03_D01_B01_T03,S143,G03_D01_B01_T03,2.2281,0.2228,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S145_G03_D01_B01_T03,S145,G03_D01_B01_T03,2.286,0.2279,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S146_G03_D01_B01_T03,S146,G03_D01_B01_T03,2.2723,0.2332,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S154_G03_D01_B01_T03,S154,G03_D01_B01_T03,2.281,0.2235,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S156_G03_D01_B01_T03,S156,G03_D01_B01_T03,2.6105,0.2435,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S157_G03_D01_B01_T03,S157,G03_D01_B01_T03,2.2873,0.2218,D01,B01,T03,D01 Old
analysis_output.1904649.log,old,S158_G03_D01_B01_T03,S158,G03_D01_B01_T03,2.2392,0.2184,D01,B01,T03,D01 Old
analysis_output.1904649.log,young,S001_G01_D01_B01_T03,S001,G01_D01_B01_T03,2.2428,0.2398,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S002_G01_D01_B01_T03,S002,G01_D01_B01_T03,2.2073,0.2214,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S003_G01_D01_B01_T03,S003,G01_D01_B01_T03,2.2724,0.2298,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S004_G01_D01_B01_T03,S004,G01_D01_B01_T03,2.2458,0.221,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S005_G01_D01_B01_T03,S005,G01_D01_B01_T03,2.2858,0.226,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S006_G01_D01_B01_T03,S006,G01_D01_B01_T03,2.2485,0.2253,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S007_G01_D01_B01_T03,S007,G01_D01_B01_T03,2.2345,0.2216,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S008_G01_D01_B01_T03,S008,G01_D01_B01_T03,2.2918,0.2263,D01,B01,T03,D01 Young
analysis_output.1904649.log,young,S010_G01_D01_B01_T03,S010,G01_D01_B01_T03,2.2796,0.2226,D01,B01,T03,D01 Young
